ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
11,72,11,2023-12-21,Illinois–Chicago,N,Arkansas,REG (Non-Conf),L 58-66,,11,1,2,.500,0,0,1,2,.500,.500,0,0,,0,4,4,0,0,0,0,0,2,2.2,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
12,73,12,2023-12-30,Illinois–Chicago,@,Belmont,REG (Conf),L 61-69,,4,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
13,74,13,2024-01-04,Illinois–Chicago,@,Southern Illinois,REG (Conf),W 66-59,,6,0,0,,0,0,0,0,,,0,0,,0,3,3,0,0,1,0,0,0,1.6,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
14,75,15,2024-01-14,Illinois–Chicago,,Drake,REG (Conf),L 62-82,,14,1,4,.250,0,0,1,4,.250,.250,0,0,,1,3,4,0,1,1,2,4,2,-0.7,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
15,76,16,2024-01-19,Illinois–Chicago,,Bradley,REG (Conf),W 75-68,,16,4,6,.667,0,0,4,6,.667,.667,1,1,1.000,2,3,5,0,1,0,3,1,9,6.3,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
16,77,17,2024-01-21,Illinois–Chicago,,Illinois State,REG (Conf),W 86-79 (OT),,5,1,1,1.000,0,0,1,1,1.000,1.000,1,2,.500,1,0,1,1,0,0,1,3,3,1.5,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
17,78,18,2024-01-26,Illinois–Chicago,@,Evansville,REG (Conf),W 70-61,,14,2,4,.500,0,0,2,4,.500,.500,3,6,.500,2,1,3,0,1,0,1,4,7,3.9,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
18,79,19,2024-01-28,Illinois–Chicago,@,Indiana State,REG (Conf),W 76-48,,6,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
19,80,20,2024-01-31,Illinois–Chicago,,Northern Iowa,REG (Conf),L 43-65,,7,1,3,.333,0,0,1,3,.333,.333,0,0,,2,2,4,0,0,0,0,0,2,2.3,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
20,81,21,2024-02-04,Illinois–Chicago,,Valparaiso,REG (Conf),L 70-71,,12,2,3,.667,0,0,2,3,.667,.667,0,0,,0,1,1,0,1,1,1,2,4,2.9,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
