Name,Position,Class Rank,Previous Team,Previous Team Abbrev,New Team,New Team Abbrev,Status,Date
Christina Dalce,SF,Junior,Villanova,NOVA,Maryland Terrapins,MD,Committed,2024-04-30T10:27:00
Nani Falatea,SG,Junior,BYU,BYU,Oregon Ducks,ORE,Committed,2024-04-29T13:00:00
Talia von Oelhoffen,SG,Senior,Oregon State,ORST,USC Trojans,USC,Committed,2024-04-29T12:03:00
Addie Porter,PG,Junior,Chattanooga,CHATT,Clemson Tigers,CLEM,Committed,2024-04-26T11:08:00
Shelomi Sanders,CG,Freshman,Colorado,COL,Alabama A&M Bulldogs,ALAM,Committed,2024-04-25T15:36:00
Dazia Lawrence,SG,RedShirt Junior,Charlotte,CHAR,,,Entered,2024-04-22T12:47:00
Mikayla Johnson,SG,Freshman,Colorado,COL,Pittsburgh Panthers,PITT,Committed,2024-04-22T09:42:00
Temira Poindexter,SG,Junior,Tulsa,TLSA,Kansas State Wildcats,KSST,Committed,2024-04-21T10:03:00
Brooklynn Miles,PG,,Kentucky,UK,Pittsburgh Panthers,PITT,Committed,2024-04-20T11:29:00
Sania Copeland,SG,Sophomore,Wisconsin,WIS,Kansas Jayhawks,KAN,Committed,2024-04-19T10:13:00
Donovyn Hunter,PG,Freshman,Oregon State,ORST,,,Entered,2024-04-18T13:54:00
Addie Porter,PG,Junior,Chattanooga,CHATT,,,Entered,2024-04-18T12:27:00
Haley Cavinder,PG,Senior,TCU,TCU,Miami Hurricanes,MIA,Committed,2024-04-18T11:37:00
Lucy Olsen,SG,Junior,Villanova,NOVA,Iowa Hawkeyes,IOWA,Committed,2024-04-17T10:24:00
Teonni Key,PF,Junior,North Carolina,UNC,Kentucky Wildcats,UK,Committed,2024-04-15T11:36:00
Eniya Russell,PG,Sophomore,Kentucky,UK,Mississippi State Bulldogs,MSST,Committed,2024-04-15T11:26:00
Ajae Petty,PF,Sophomore,Kentucky,UK,Ohio State Buckeyes,OHST,Committed,2024-04-15T10:48:00
Mary Ashley Stevenson,SF,Freshman,Purdue,PUR,,,Entered,2024-04-15T09:13:00
Amiah Simmons,SG,Sophomore,Alabama A&M,ALAM,San Jose State Spartans,SJSU,Committed,2024-04-12T10:22:00
Dominika Paurova,SG,Freshman,Oregon State,ORST,,,Entered,2024-04-12T09:17:00
Gabby Brooks,SG,Freshman,Virginia Tech,VT,,,Entered,2024-04-09T17:41:00
Amiya Jenkins,SG,Sophomore,Kentucky,UK,,,Entered,2024-04-09T14:41:00
Shelomi Sanders,CG,Freshman,Colorado,COL,,,Entered,2024-04-08T15:36:00
Amari DeBerry,PF,Junior,Connecticut,CONN,,,Entered,2024-04-08T11:58:00
Brooklynn Miles,PG,,Kentucky,UK,,,Entered,2024-04-05T09:00:00
Jordy Griggs,PG,Freshman,Kentucky,UK,,,Entered,2024-04-04T14:12:00
Georgia Amoore,SG,Senior,Virginia Tech,VT,Kentucky Wildcats,UK,Committed,2024-04-04T11:20:00
Sania Copeland,SG,Sophomore,Wisconsin,WIS,,,Entered,2024-04-04T10:12:00
Hailey Van Lith,PG,Senior,LSU,LSU,,,Entered,2024-04-04T08:32:00
Mikayla Johnson,SG,Freshman,Colorado,COL,,,Entered,2024-04-03T09:41:00
Clara Strack,C,Freshman,Virginia Tech,VT,,,Entered,2024-04-02T14:18:00
Moriah Murray,SG,Junior,Penn State,PSU,Penn State,PSU,Withdrawn,2025-04-09T14:52:00
Moriah Murray,SG,Junior,Penn State,PSU,,,Entered,2025-03-25T16:25:00
Dominika Paurova,SG,Freshman,Oregon State,ORST,Kentucky Wildcats,UK,Committed,2024-06-05T12:50:00
Mary Ashley Stevenson,SF,Freshman,Purdue,PUR,Stanford Cardinal,STAN,Committed,2024-05-15T13:42:00
Kylie Marshall,SG,Freshman,Texas A&M,TAMU,SMU Mustangs,SMU,Committed,2024-05-15T11:20:00
Tess Heal,SG,Sophomore,Santa Clara University,SC,Stanford Cardinal,STAN,Committed,2024-05-13T10:07:00
Deja Kelly,CG,Senior,North Carolina,UNC,Oregon Ducks,ORE,Committed,2024-05-06T13:19:00
Dazia Lawrence,SG,RedShirt Junior,Charlotte,CHAR,Kentucky Wildcats,UK,Committed,2024-05-05T12:48:00
Taylor Bigby,CG,Junior,USC,USC,TCU Horned Frogs,TCU,Committed,2024-05-05T10:13:00
Grace Townsend,SG,Senior,Richmond,RICH,North Carolina Tar Heels,UNC,Committed,2024-05-05T09:58:00
Sydney Shaw,SG,Sophomore,Auburn,AUB,West Virginia Mountaineers,WVU,Committed,2024-05-05T09:50:00
Riley Nelson,SF,Freshman,Maryland,MD,Duke Blue Devils,DUKE,Committed,2024-05-05T09:34:00
Sydney Harris,CG,Sophomore,TCU,TCU,Iowa State Cyclones,ISU,Committed,2024-05-05T09:16:00
Kenzie Hare,SG,Sophomore,Marquette,MARQ,Iowa State Cyclones,ISU,Committed,2024-05-05T09:12:00
Casey Valenti Paea,SG,RedShirt Junior,California State University-Long Beach,LBS,Virginia Cavaliers,UVA,Committed,2024-05-04T10:45:00
Jordan Obi,PF,Junior,Pennsylvania,PENN,Kentucky Wildcats,UK,Committed,2024-05-02T12:41:00
Samara Spencer,PG,Junior,Arkansas,ARK,Tennessee Volunteers,TENN,Committed,2024-05-01T18:26:00
Gabby Brooks,SG,Freshman,Virginia Tech,VT,Kentucky Wildcats,UK,Committed,2024-05-01T13:04:00
Hailey Van Lith,PG,Senior,LSU,LSU,TCU Horned Frogs,TCU,Committed,2024-05-01T09:30:00
Christina Dalce,SF,Junior,Villanova,NOVA,Maryland Terrapins,MD,Committed,2024-04-30T10:27:00
Nani Falatea,SG,Junior,BYU,BYU,Oregon Ducks,ORE,Committed,2024-04-29T13:00:00
Talia von Oelhoffen,SG,Senior,Oregon State,ORST,USC Trojans,USC,Committed,2024-04-29T12:03:00
Addie Porter,PG,Junior,Chattanooga,CHATT,Clemson Tigers,CLEM,Committed,2024-04-26T11:08:00
Shelomi Sanders,CG,Freshman,Colorado,COL,Alabama A&M Bulldogs,ALAM,Committed,2024-04-25T15:36:00
Dazia Lawrence,SG,RedShirt Junior,Charlotte,CHAR,,,Entered,2024-04-22T12:47:00
Mikayla Johnson,SG,Freshman,Colorado,COL,Pittsburgh Panthers,PITT,Committed,2024-04-22T09:42:00
Temira Poindexter,SG,Junior,Tulsa,TLSA,Kansas State Wildcats,KSST,Committed,2024-04-21T10:03:00
Brooklynn Miles,PG,,Kentucky,UK,Pittsburgh Panthers,PITT,Committed,2024-04-20T11:29:00
Sania Copeland,SG,Sophomore,Wisconsin,WIS,Kansas Jayhawks,KAN,Committed,2024-04-19T10:13:00
Donovyn Hunter,PG,Freshman,Oregon State,ORST,,,Entered,2024-04-18T13:54:00
Addie Porter,PG,Junior,Chattanooga,CHATT,,,Entered,2024-04-18T12:27:00
Haley Cavinder,PG,Senior,TCU,TCU,Miami Hurricanes,MIA,Committed,2024-04-18T11:37:00
Lucy Olsen,SG,Junior,Villanova,NOVA,Iowa Hawkeyes,IOWA,Committed,2024-04-17T10:24:00
Teonni Key,PF,Junior,North Carolina,UNC,Kentucky Wildcats,UK,Committed,2024-04-15T11:36:00
Eniya Russell,PG,Sophomore,Kentucky,UK,Mississippi State Bulldogs,MSST,Committed,2024-04-15T11:26:00
Ajae Petty,PF,Sophomore,Kentucky,UK,Ohio State Buckeyes,OHST,Committed,2024-04-15T10:48:00
Mary Ashley Stevenson,SF,Freshman,Purdue,PUR,,,Entered,2024-04-15T09:13:00
Amiah Simmons,SG,Sophomore,Alabama A&M,ALAM,San Jose State Spartans,SJSU,Committed,2024-04-12T10:22:00
Dominika Paurova,SG,Freshman,Oregon State,ORST,,,Entered,2024-04-12T09:17:00
Gabby Brooks,SG,Freshman,Virginia Tech,VT,,,Entered,2024-04-09T17:41:00
Amiya Jenkins,SG,Sophomore,Kentucky,UK,,,Entered,2024-04-09T14:41:00
Shelomi Sanders,CG,Freshman,Colorado,COL,,,Entered,2024-04-08T15:36:00
Amari DeBerry,PF,Junior,Connecticut,CONN,,,Entered,2024-04-08T11:58:00
Brooklynn Miles,PG,,Kentucky,UK,,,Entered,2024-04-05T09:00:00
Jordy Griggs,PG,Freshman,Kentucky,UK,,,Entered,2024-04-04T14:12:00
Georgia Amoore,SG,Senior,Virginia Tech,VT,Kentucky Wildcats,UK,Committed,2024-04-04T11:20:00
Sania Copeland,SG,Sophomore,Wisconsin,WIS,,,Entered,2024-04-04T10:12:00
Hailey Van Lith,PG,Senior,LSU,LSU,,,Entered,2024-04-04T08:32:00
Mikayla Johnson,SG,Freshman,Colorado,COL,,,Entered,2024-04-03T09:41:00
Clara Strack,C,Freshman,Virginia Tech,VT,,,Entered,2024-04-02T14:18:00
Teonni Key,PF,Junior,North Carolina,UNC,,,Entered,2024-04-02T11:35:00
Paulina Paris,CG,Sophomore,North Carolina,UNC,Arizona Wildcats,ARIZ,Committed,2024-04-02T10:44:00
Georgia Amoore,SG,Senior,Virginia Tech,VT,,,Entered,2024-04-01T12:00:00
Alberte Rimdal,SG,Junior,Florida,UF,,,Entered,2024-03-27T12:01:00
Eniya Russell,PG,Sophomore,Kentucky,UK,,,Entered,2024-03-20T14:09:00
Jordan Obi,PF,Junior,Pennsylvania,PENN,,,Entered,2024-03-18T12:40:00
Sahnya Jah,SF,Freshman,South Carolina,SC,,,Entered,2024-03-18T11:55:00
Nani Falatea,SG,Junior,BYU,BYU,,,Entered,2024-03-18T08:26:00
Paulina Paris,CG,Sophomore,North Carolina,UNC,,,Entered,2024-03-17T10:44:00
DeeDee Hagemann,PG,Junior,Michigan State,MSU,,,Entered,2024-03-15T12:32:00
Deja Kelly,CG,Senior,North Carolina,UNC,,,Entered,2024-03-15T12:08:00
Talia von Oelhoffen,SG,Senior,Oregon State,ORST,,,Entered,2024-03-15T12:03:00
Kylie Marshall,SG,Freshman,Texas A&M,TAMU,,,Entered,2024-03-15T11:16:00
Casey Valenti Paea,SG,RedShirt Junior,California State University-Long Beach,LBS,,,Entered,2024-03-15T10:41:00
Christina Dalce,SF,Junior,Villanova,NOVA,,,Entered,2024-03-15T10:26:00
Lucy Olsen,SG,Junior,Villanova,NOVA,,,Entered,2024-03-15T10:24:00
Amiah Simmons,SG,Sophomore,Alabama A&M,ALAM,,,Entered,2024-03-15T10:22:00
Temira Poindexter,SG,Junior,Tulsa,TLSA,,,Entered,2024-03-15T09:35:00
Riley Nelson,SF,Freshman,Maryland,MD,,,Entered,2024-03-15T09:34:00
Lily Hansford,SG,Sophomore,Oregon State,ORST,,,Entered,2024-03-15T09:18:00
Sydney Harris,CG,Sophomore,TCU,TCU,,,Entered,2024-03-15T09:16:00
Kenzie Hare,SG,Sophomore,Marquette,MARQ,,,Entered,2024-03-15T09:12:00
Mia Moore,SG,Junior,UAB,UAB,,,Entered,2024-03-15T09:00:00
Tess Heal,SG,Sophomore,Santa Clara University,SC,,,Entered,2024-03-14T09:03:00
Janae Walker,PF,Freshman,Kentucky,UK,,,Entered,2024-03-13T14:12:00
Zaay Green,CG,Senior,Arkansas-Pine Bluff,ARPB,,,Entered,2024-03-13T10:28:00
Malea Williams,PF,Senior,Cincinnati,CIN,,,Entered,2024-03-13T10:16:00
Taylor Bigby,CG,Junior,USC,USC,,,Entered,2024-03-13T10:12:00
Grace Townsend,SG,Senior,Richmond,RICH,,,Entered,2024-03-13T09:57:00
Sydney Shaw,SG,Sophomore,Auburn,AUB,,,Entered,2024-03-13T09:50:00
Ajae Petty,PF,Sophomore,Kentucky,UK,,,Entered,2024-03-12T10:47:00
Jayda Curry,PG,Junior,Louisville,LOU,Louisville Cardinals,LOU,Committed,2023-08-01T13:36:00
Paris Clark,CG,Sophomore,Virginia,UVA,Virginia Cavaliers,UVA,Committed,2023-08-01T12:35:00
Kyndall Hunter,SG,RedShirt Sophomore,Texas A&M,TAMU,Texas A&M Aggies,TAMU,Committed,2023-08-01T11:32:00
Jordyn Merritt,CG,Senior,Texas Tech,TTU,Texas Tech Red Raiders,TTU,Committed,2023-08-01T11:26:00
Ally Steadman,CG,Junior,Miami,MIA,Miami Hurricanes,MIA,Committed,2023-08-01T10:57:00
Kennedy Todd-Williams,SG,Senior,Ole Miss,MISS,Ole Miss Rebels,MISS,Committed,2023-08-01T10:19:00
Erynn Barnum,SF,Senior,Mississippi State,MSST,Mississippi State Bulldogs,MSST,Committed,2023-08-01T09:44:00
Dominique Camp,SG,Senior,Syracuse,SYR,Syracuse Orange,SYR,Committed,2023-08-01T09:23:00
Endyia Rogers,SG,Senior,Texas A&M,TAMU,Texas A&M Aggies,TAMU,Committed,2023-08-01T08:35:00
Jaden Owens,CG,Senior,TCU,TCU,TCU Horned Frogs,TCU,Committed,2023-08-01T08:20:00
Anna Camden,PF,Senior,Richmond,RICH,Richmond Spiders,RICH,Committed,2023-05-25T09:21:00
Samara Spencer,PG,Junior,Arkansas,ARK,,,Entered,2023-04-14T18:23:00
Anna Camden,PF,Senior,Richmond,RICH,,,Entered,
Endyia Rogers,SG,Senior,Texas A&M,TAMU,,,Entered,
Jayda Curry,PG,Junior,Louisville,LOU,,,Entered,
Ally Steadman,CG,Junior,Miami,MIA,,,Entered,
Jaden Owens,CG,Senior,TCU,TCU,,,Entered,
Haley Cavinder,PG,Senior,TCU,TCU,,,Entered,
Jordyn Merritt,CG,Senior,Texas Tech,TTU,,,Entered,
Kennedy Todd-Williams,SG,Senior,Ole Miss,MISS,,,Entered,
Erynn Barnum,SF,Senior,Mississippi State,MSST,,,Entered,
Dominique Camp,SG,Senior,Syracuse,SYR,,,Entered,
Kyndall Hunter,SG,RedShirt Sophomore,Texas A&M,TAMU,,,Entered,
Paris Clark,CG,Sophomore,Virginia,UVA,,,Entered,
Jordan Harrison,SG,Sophomore,West Virginia,WVU,,,Entered,
Kelsey Rees,PF,Senior,Oregon State,ORST,,,Entered,
Paris Clark,CG,Junior,Virginia,UVA,,,Entered,
Kyndall Hunter,SG,RedShirt Junior,Texas A&M,TAMU,,,Entered,
