Name,Position,Class Rank,Previous Team,Previous Team Abbrev,New Team,New Team Abbrev,Status,Date
Avery Strickland,CG,Junior,Tennessee,TENN,Belmont University Bruins,Belmont,Committed,2025-04-13T16:03:00
Nya Roberson,PG,Junior,SMU,SMU,Tennessee Volunteers,TENN,Committed,2025-04-13T16:01:00
Sa'myah Smith,SF,Sophomore,LSU,LSU,Virginia Cavaliers,UVA,Committed,2025-04-13T10:57:00
Janiah Barker,PF,Junior,UCLA,UCLA,,,Entered,2025-04-12T11:00:00
Jersey Wolfenbarger,SF,Senior,LSU,LSU,,,Entered,2025-04-11T09:15:00
Amiya Joyner,PF,Junior,East Carolina,ECU,,,Entered,2025-04-10T11:50:00
Iyana Moore,CG,Senior,Vanderbilt,VAN,,,Entered,2025-04-10T09:31:00
Cotie McMahon,SG,Junior,Ohio State,OHST,Ole Miss Rebels,MISS,Committed,2025-04-10T09:00:00
Kilah Freelon,SF,Junior,Texas Tech,TTU,,,Entered,2025-04-09T14:56:00
Summer Davis,CG,Freshman,Georgia,UGA,,,Entered,2025-04-09T12:56:00
Indya Davis,CG,Freshman,Georgia,UGA,,,Entered,2025-04-09T12:56:00
Zania Socka-Nguemen,C,Freshman,UCLA,UCLA,,,Entered,2025-04-09T08:57:00
Taylor Johnson-Matthews,CG,Junior,DePaul,DePaul,Clemson Tigers,CLEM,Committed,2025-04-09T08:55:00
Olivia Miles,SG,Junior,Notre Dame,ND,TCU Horned Frogs,TCU,Committed,2025-04-08T18:50:00
Avery Howell,SG,Freshman,USC,USC,Washington Huskies,WASH,Committed,2025-04-08T15:27:00
Imani Lester,SF,Junior,Kansas State,KSST,,,Entered,2025-04-08T15:17:00
Taliyah Parker,CG,Freshman,Texas A&M,TAMU,TCU Horned Frogs,TCU,Committed,2025-04-08T15:16:00
Vanessa de Jesus,PG,Senior,Duke,DUKE,,,Entered,2025-04-08T15:16:00
Mya Petticord,CG,Junior,Rutgers,RU,,,Entered,2025-04-08T15:16:00
Ashton Judd,CG,Junior,Missouri,MIZZ,,,Entered,2025-04-08T15:15:00
Dani Carnegie,CG,Freshman,Georgia Tech,GTECH,Georgia Bulldogs,UGA,Committed,2025-04-08T15:10:00
Sakima Walker,C,Senior,South Carolina,SC,,,Entered,2025-04-08T15:04:00
Kylee Kitts,SF,Freshman,Florida,UF,,,Entered,2025-04-08T15:03:00
Gisela Sanchez,SF,Junior,Kansas State,KSST,,,Entered,2025-04-08T15:01:00
Saniah Tyler,PG,Junior,Kentucky,UK,Missouri Tigers,MIZZ,Committed,2025-04-08T15:00:00
Nya Roberson,PG,Junior,SMU,SMU,,,Entered,2025-04-08T14:59:00
Kendall Dudley,CG,Freshman,UCLA,UCLA,,,Entered,2025-04-08T14:58:00
Kayleigh Heckel,PG,Freshman,USC,USC,Connecticut Huskies,CONN,Committed,2025-05-20T20:01:00
Iyana Moore,CG,Senior,Vanderbilt,VAN,Notre Dame Fighting Irish,ND,Committed,2025-05-19T09:31:00
MiLaysia Fulwiley,PG,Sophomore,South Carolina,SC,LSU Tigers,LSU,Committed,2025-04-25T14:27:00
Imani Lester,SF,Junior,Kansas State,KSST,Rutgers Scarlet Knights,RU,Committed,2025-04-24T11:22:00
Jersey Wolfenbarger,SF,Senior,LSU,LSU,Tennessee Volunteers,TENN,Committed,2025-04-23T17:26:00
Chazadi Wright,PG,Freshman,Georgia Tech,GTECH,Iowa Hawkeyes,IOWA,Committed,2025-04-23T09:49:00
Jade Weathersby,PF,Sophomore,UAB,UAB,Florida Gators,UF,Committed,2025-04-23T06:30:00
Mjracle Sheppard,SG,Sophomore,LSU,LSU,,,Entered,2025-04-22T10:52:00
Jordana Codio,CG,Junior,Texas,TEX,Seton Hall Pirates,SETON,Committed,2025-04-22T10:00:00
Madina Okot,C,Junior,Mississippi State,MSST,South Carolina Gamecocks,SC,Committed,2025-04-21T19:06:00
Lauryn Swann,PG,Freshman,Arizona,ARIZ,Rutgers Scarlet Knights,RU,Committed,2025-04-21T16:09:00
Claire Johnson,SG,Freshman,Samford,SAM,,,Entered,2025-04-21T12:44:00
Janiah Barker,PF,Junior,UCLA,UCLA,Tennessee Volunteers,TENN,Committed,2025-04-21T11:04:00
Aalyah Del Rosario,C,Sophomore,LSU,LSU,Vanderbilt Commodores,VAN,Committed,2025-04-21T11:01:00
Nene Ndiaye,SF,Sophomore,Boston College,BC,Rutgers Scarlet Knights,RU,Committed,2025-04-21T11:00:00
Last-Tear Poa,SG,Senior,LSU,LSU,Arizona State Sun Devils,ASU,Committed,2025-04-20T12:56:00
Kiyomi McMiller,PG,Freshman,Rutgers,RU,Penn State Nittany Lions,PSU,Committed,2025-04-19T11:03:00
Jzaniya Harriel,CG,Senior,Stanford,STAN,SMU Mustangs,SMU,Committed,2025-04-18T15:58:00
Amani Bartlett,PF,Senior,LSU,LSU,,,Entered,2025-04-16T10:53:00
Debreasha Powe,CG,Junior,Mississippi State,MSST,Ole Miss Rebels,MISS,Committed,2025-04-15T15:49:00
Tonie Morgan,PG,Junior,Georgia Tech,GTECH,Kentucky Wildcats,UK,Committed,2025-04-15T15:28:00
Amiya Joyner,PF,Junior,East Carolina,ECU,LSU Tigers,LSU,Committed,2025-04-15T11:52:00
MiLaysia Fulwiley,PG,Sophomore,South Carolina,SC,,,Entered,2025-04-14T13:51:00
Avery Strickland,CG,Junior,Tennessee,TENN,Belmont University Bruins,Belmont,Committed,2025-04-13T16:03:00
Nya Roberson,PG,Junior,SMU,SMU,Tennessee Volunteers,TENN,Committed,2025-04-13T16:01:00
Sa'myah Smith,SF,Sophomore,LSU,LSU,Virginia Cavaliers,UVA,Committed,2025-04-13T10:57:00
Janiah Barker,PF,Junior,UCLA,UCLA,,,Entered,2025-04-12T11:00:00
Jersey Wolfenbarger,SF,Senior,LSU,LSU,,,Entered,2025-04-11T09:15:00
Amiya Joyner,PF,Junior,East Carolina,ECU,,,Entered,2025-04-10T11:50:00
Iyana Moore,CG,Senior,Vanderbilt,VAN,,,Entered,2025-04-10T09:31:00
Cotie McMahon,SG,Junior,Ohio State,OHST,Ole Miss Rebels,MISS,Committed,2025-04-10T09:00:00
Kilah Freelon,SF,Junior,Texas Tech,TTU,,,Entered,2025-04-09T14:56:00
Summer Davis,CG,Freshman,Georgia,UGA,,,Entered,2025-04-09T12:56:00
Indya Davis,CG,Freshman,Georgia,UGA,,,Entered,2025-04-09T12:56:00
Zania Socka-Nguemen,C,Freshman,UCLA,UCLA,,,Entered,2025-04-09T08:57:00
Taylor Johnson-Matthews,CG,Junior,DePaul,DePaul,Clemson Tigers,CLEM,Committed,2025-04-09T08:55:00
Olivia Miles,SG,Junior,Notre Dame,ND,TCU Horned Frogs,TCU,Committed,2025-04-08T18:50:00
Avery Howell,SG,Freshman,USC,USC,Washington Huskies,WASH,Committed,2025-04-08T15:27:00
Imani Lester,SF,Junior,Kansas State,KSST,,,Entered,2025-04-08T15:17:00
Taliyah Parker,CG,Freshman,Texas A&M,TAMU,TCU Horned Frogs,TCU,Committed,2025-04-08T15:16:00
Vanessa de Jesus,PG,Senior,Duke,DUKE,,,Entered,2025-04-08T15:16:00
Mya Petticord,CG,Junior,Rutgers,RU,,,Entered,2025-04-08T15:16:00
Ashton Judd,CG,Junior,Missouri,MIZZ,,,Entered,2025-04-08T15:15:00
Dani Carnegie,CG,Freshman,Georgia Tech,GTECH,Georgia Bulldogs,UGA,Committed,2025-04-08T15:10:00
Sakima Walker,C,Senior,South Carolina,SC,,,Entered,2025-04-08T15:04:00
Kylee Kitts,SF,Freshman,Florida,UF,,,Entered,2025-04-08T15:03:00
Gisela Sanchez,SF,Junior,Kansas State,KSST,,,Entered,2025-04-08T15:01:00
Saniah Tyler,PG,Junior,Kentucky,UK,Missouri Tigers,MIZZ,Committed,2025-04-08T15:00:00
Nya Roberson,PG,Junior,SMU,SMU,,,Entered,2025-04-08T14:59:00
Kendall Dudley,CG,Freshman,UCLA,UCLA,,,Entered,2025-04-08T14:58:00
Denim DeShields,PG,Junior,Mississippi State,MSST,,,Entered,2025-04-08T14:57:00
Ta'Niya Latson,CG,Junior,Florida State,FSU,South Carolina Gamecocks,SC,Committed,2025-04-08T13:37:00
Loghan Johnson,CG,Sophomore,Texas Tech,TTU,West Virginia Mountaineers,WVU,Committed,2025-04-08T12:28:00
Tianna Thompson,CG,Freshman,Georgia Tech,GTECH,Ole Miss Rebels,MISS,Committed,2025-04-08T09:09:00
Yarden Garzon,SG,Junior,Indiana,IND,Maryland Terrapins,MD,Committed,2025-04-07T15:44:00
Gabby Elliott,CG,Senior,Penn State,PSU,Arizona State Sun Devils,ASU,Committed,2025-04-07T15:38:00
Savannah Scott,C,Sophomore,Auburn,AUB,UCF Knights,UCF,Committed,2025-04-07T15:37:00
Ra Shaya Kyle,C,Junior,Florida,UF,,,Entered,2025-04-07T15:20:00
Jenessa Cotton,PF,Freshman,Duke,DUKE,,,Entered,2025-04-07T15:20:00
Tahj-Monet Bloom,SF,Freshman,Mississippi State,MSST,,,Entered,2025-04-07T15:20:00
Elina Aarnisalo,CG,Freshman,UCLA,UCLA,,,Entered,2025-04-07T15:19:00
Malaya Cowles,PF,RedShirt Junior,Wake Forest,WAKE,,,Entered,2025-04-07T15:19:00
Shay Bollin,SF,Junior,Illinois,ILL,,,Entered,2025-04-07T15:18:00
Brianna McLeod,C,Junior,SMU,SMU,,,Entered,2025-04-07T15:18:00
Aalyah Del Rosario,C,Sophomore,LSU,LSU,,,Entered,2025-04-07T15:18:00
Avary Cain,SG,Freshman,UCLA,UCLA,,,Entered,2025-04-07T15:17:00
Kelsey Joens,CG,Sophomore,Iowa State,ISU,,,Entered,2025-04-07T15:17:00
Kate Koval,PF,Freshman,Notre Dame,ND,LSU Tigers,LSU,Committed,2025-04-07T10:50:00
Jordana Codio,CG,Junior,Texas,TEX,,,Entered,2025-04-06T16:31:00
Phoenix Stotijn,CG,Freshman,Arkansas,ARK,Indiana Hoosiers,IND,Committed,2025-04-06T15:45:00
Grace Hall,SF,RedShirt Junior,Penn State,PSU,SMU Mustangs,SMU,Committed,2025-04-06T15:43:00
Jzaniya Harriel,CG,Senior,Stanford,STAN,,,Entered,2025-04-05T15:58:00
Madina Okot,C,Junior,Mississippi State,MSST,,,Entered,2025-04-04T13:16:00
Kayleigh Heckel,PG,Freshman,USC,USC,,,Entered,2025-04-04T09:15:00
Nyla Harris,SF,Junior,Louisville,LOU,North Carolina Tar Heels,UNC,Committed,2025-04-04T09:14:00
Avery Strickland,CG,Junior,Tennessee,TENN,,,Entered,2025-04-03T16:01:00
Trayanna Crisp,PG,Junior,North Carolina,UNC,,,Entered,2025-04-03T12:30:00
Helen Holley,SF,Freshman,Michigan State,MSU,,,Entered,2025-04-03T09:24:00
Mary Meng,C,RedShirt Freshman,Michigan State,MSU,,,Entered,2025-04-03T09:24:00
Debreasha Powe,CG,Junior,Mississippi State,MSST,,,Entered,2025-04-03T09:23:00
Sophie Swanson,SG,Sophomore,Purdue,PUR,Virginia Tech Hokies,VT,Committed,2025-04-03T09:20:00
Kaylah Ivey,PG,RedShirt Junior,Boston College,BC,Rutgers Scarlet Knights,RU,Committed,2025-04-03T09:16:00
Jerni Kiaku,PG,Junior,Duquesne,DUQ,,,Entered,2025-04-03T07:25:00
Carly Keats,SG,Sophomore,Arkansas,ARK,,,Entered,2025-04-03T07:23:00
Kylee Watson,PF,Senior,Notre Dame,ND,,,Entered,2025-04-02T14:23:00
Jada Williams,CG,Sophomore,Arizona,ARIZ,Iowa State Cyclones,ISU,Committed,2025-04-02T11:28:00
Jordan Meulemans,CG,Junior,Butler,BUT,,,Entered,2025-04-02T09:52:00
Karley Johnson,PG,Junior,Arkansas,ARK,,,Entered,2025-04-02T09:34:00
Rusne Augustinaite,SG,Sophomore,Georgia Tech,GTECH,Clemson Tigers,CLEM,Committed,2025-04-02T09:33:00
Lily Carmody,CG,Freshman,Butler,BUT,,,Entered,2025-04-02T09:33:00
Ayianna Johnson,PF,Sophomore,Colorado,COL,,,Entered,2025-04-02T09:31:00
Tess Heal,SG,Junior,Stanford,STAN,,,Entered,2025-04-02T09:30:00
Last-Tear Poa,SG,Senior,LSU,LSU,,,Entered,2025-04-02T09:30:00
Chloe Spreen,SG,Freshman,Alabama,BAMA,Indiana Hoosiers,IND,Committed,2025-04-02T09:29:00
Knisha Godfrey,PG,RedShirt Senior,TCU,TCU,,,Entered,2025-04-02T09:28:00
Amiya Evans,PF,Junior,Georgia,UGA,,,Entered,2025-04-02T09:27:00
Avery Howell,SG,Freshman,USC,USC,,,Entered,2025-04-02T09:26:00
Erin Powell,SF,Freshman,Colorado,COL,,,Entered,2025-04-02T09:26:00
Faith Blackstone,SG,RedShirt Senior,Stephen F. Austin,SFA,Rutgers Scarlet Knights,RU,Committed,2025-04-01T16:53:00
Emma Risch,CG,Sophomore,Notre Dame,ND,,,Entered,2025-04-01T15:17:00
Kara Dunn,SG,Junior,Georgia Tech,GTECH,,,Entered,2025-04-01T09:53:00
Sinai Douglas,PG,Freshman,Michigan State,MSU,,,Entered,2025-04-01T09:51:00
Lemyah Hylton,CG,Junior,Miami,MIA,Texas A&M Aggies,TAMU,Committed,2025-04-01T09:50:00
Olivia Miles,SG,Junior,Notre Dame,ND,,,Entered,2025-04-01T09:49:00
Landry Allen,C,Sophomore,Oklahoma,OKLA,,,Entered,2025-04-01T09:48:00
Louann Battiston,PG,Freshman,Duke,DUKE,,,Entered,2025-04-01T09:45:00
Marta Suárez,SF,Senior,California,CAL,,,Entered,2025-04-01T09:45:00
Kaitlyn Duhon,CG,Junior,Auburn,AUB,Texas A&M Aggies,TAMU,Committed,2025-04-01T09:44:00
Lauryn Swann,PG,Freshman,Arizona,ARIZ,,,Entered,2025-04-01T09:43:00
Lily Hansford,SG,Junior,Iowa State,ISU,,,Entered,2025-04-01T09:42:00
Clara Silva,C,Freshman,Kentucky,UK,TCU Horned Frogs,TCU,Committed,2025-04-01T09:41:00
Kate Koval,PF,Freshman,Notre Dame,ND,,,Entered,2025-04-01T09:40:00
Emily Fisher,SG,Sophomore,Maryland,MD,,,Entered,2025-04-01T09:39:00
Aaliyah Gayles,PG,Junior,USC,USC,,,Entered,2025-04-01T09:38:00
KiKi Smith,SG,Sophomore,Arkansas,ARK,,,Entered,2025-04-01T09:37:00
Mya Perry,CG,Junior,Florida Atlantic,FAU,Cincinnati Bearcats,CIN,Committed,2025-04-01T09:35:00
Katie Ledden,CG,Sophomore,Rhode Island,RI,New Hampshire Wildcats,NH,Committed,2025-04-01T07:46:00
Adeang Ring,C,Freshman,UCF,UCF,,,Entered,2025-04-01T07:38:00
Sa'myah Smith,SF,Sophomore,LSU,LSU,,,Entered,2025-03-31T20:33:00
Latasha Lattimore,PF,Senior,Virginia,UVA,Ole Miss Rebels,MISS,Committed,2025-03-31T17:11:00
Kaitlin Peterson,SG,Senior,UCF,UCF,Ole Miss Rebels,MISS,Committed,2025-03-31T17:04:00
Reyna Scott,SG,Junior,Oklahoma,OKLA,,,Entered,2025-03-31T15:14:00
Eliza Maupin,SF,Junior,Kansas State,KSST,,,Entered,2025-03-31T12:53:00
Lovisa Asbrink Hose,C,Freshman,Florida Atlantic,FAU,,,Entered,2025-03-31T11:37:00
Eseosa Imafidon,C,RedShirt Freshman,Louisville,LOU,,,Entered,2025-03-31T11:36:00
Timya Thurman,C,Sophomore,Auburn,AUB,,,Entered,2025-03-31T11:35:00
Rashunda Jones,PG,Sophomore,Purdue,PUR,,,Entered,2025-03-31T11:33:00
Heloisa Carrera,SF,Freshman,Ole Miss,MISS,,,Entered,2025-03-31T10:34:00
Vittoria Blasigh,CG,Sophomore,USF,USF,Miami Hurricanes,MIA,Committed,2025-03-31T08:49:00
Yarden Garzon,SG,Junior,Indiana,IND,,,Entered,2025-03-31T08:35:00
Jite Gbemuotor,SF,Freshman,Ole Miss,MISS,,,Entered,2025-03-30T16:40:00
Kharyssa Richardson,SF,Junior,Ole Miss,MISS,,,Entered,2025-03-30T16:39:00
Rhema Collins,SF,Sophomore,Ole Miss,MISS,,,Entered,2025-03-30T16:39:00
Freddie Wallace,SF,Junior,Kansas,KAN,,,Entered,2025-03-29T16:42:00
Marley Washenitz,SG,Junior,Pittsburgh,PITT,,,Entered,2025-03-28T10:05:00
Gabby Elliott,CG,Senior,Penn State,PSU,,,Entered,2025-03-27T15:40:00
Dani Carnegie,CG,Freshman,Georgia Tech,GTECH,,,Entered,2025-03-27T15:09:00
Ta'Niya Latson,CG,Junior,Florida State,FSU,,,Entered,2025-03-27T12:40:00
Kiyomi McMiller,PG,Freshman,Rutgers,RU,,,Entered,2025-03-27T10:21:00
Faith Blackstone,SG,RedShirt Senior,Stephen F. Austin,SFA,,,Entered,2025-03-27T10:13:00
Henna Sandvik,CG,Junior,Indiana,IND,,,Entered,2025-03-26T23:18:00
Phoenix Stotijn,CG,Freshman,Arkansas,ARK,,,Entered,2025-03-26T15:06:00
Sharnecce Currie-Jelks,SF,Junior,Indiana,IND,,,Entered,2025-03-26T13:16:00
Laura Ziegler,PF,Junior,Saint Joseph's University,SJU,,,Entered,2025-03-26T13:15:00
Grace Oliver,SF,Freshman,Colorado,COL,,,Entered,2025-03-26T13:10:00
Lani White,CG,Junior,Virginia Tech,VT,,,Entered,2025-03-26T12:17:00
Cotie McMahon,SG,Junior,Ohio State,OHST,,,Entered,2025-03-26T12:16:00
Rylie Theuerkauf,CG,Sophomore,Wake Forest,WAKE,,,Entered,2025-03-26T11:18:00
Vera Ojenuwa,PF,Sophomore,Arkansas,ARK,,,Entered,2025-03-26T10:20:00
Fatima Diakhate,PF,Junior,Georgia,UGA,,,Entered,2025-03-26T09:21:00
Talayah Walker,CG,Freshman,Penn State,PSU,,,Entered,2025-03-25T21:40:00
Latasha Lattimore,PF,Senior,Virginia,UVA,,,Entered,2025-03-25T17:10:00
Amiyah Reynolds,CG,RedShirt Freshman,Purdue,PUR,,,Entered,2025-03-25T16:43:00
Mila Reynolds,PF,Junior,Purdue,PUR,,,Entered,2025-03-25T16:42:00
Ta'Mia Scott,CG,Junior,Middle Tennessee State,MTSU,,,Entered,2025-03-25T16:38:00
Faith Carson,C,Sophomore,Ohio State,OHST,,,Entered,2025-03-25T16:38:00
Nyla Harris,SF,Junior,Louisville,LOU,,,Entered,2025-03-25T16:35:00
Tianna Thompson,CG,Freshman,Georgia Tech,GTECH,,,Entered,2025-03-25T16:28:00
Lexus Bargesser,SG,Junior,Indiana,IND,,,Entered,2025-03-25T16:28:00
Faith Okorie,SF,Sophomore,George Mason,George Mason,,,Entered,2025-03-25T16:24:00
Izela Arenas,CG,Freshman,Louisville,LOU,,,Entered,2025-03-25T16:24:00
Sophie Glancey,PF,Junior,Northern Arizona,NOAZ,,,Entered,2025-03-25T16:22:00
Lilly Meister,PF,Junior,Indiana,IND,,,Entered,2025-03-25T16:22:00
Grace Hall,SF,RedShirt Junior,Penn State,PSU,,,Entered,2025-03-25T15:42:00
Savannah Scott,C,Sophomore,Auburn,AUB,,,Entered,2025-03-25T15:37:00
Edessa Noyan,PF,Sophomore,Virginia,UVA,,,Entered,2025-03-25T15:32:00
Yulia Grabovskaia,C,Sophomore,Michigan,MICH,,,Entered,2025-03-25T15:32:00
Saniah Tyler,PG,Junior,Kentucky,UK,,,Entered,2025-03-25T15:30:00
Julianna LaMendola,SG,Sophomore,Indiana,IND,,,Entered,2025-03-25T15:30:00
Sole Williams,CG,Sophomore,Texas A&M,TAMU,,,Entered,2025-03-25T15:30:00
Loghan Johnson,CG,Sophomore,Texas Tech,TTU,,,Entered,2025-03-25T15:28:00
Ella Brow,SG,Junior,SMU,SMU,,,Entered,2025-03-25T15:03:00
Elle Blatchford,CG,Sophomore,Gardner-Webb,GWU,,,Entered,2025-03-25T14:42:00
Taliyah Parker,CG,Freshman,Texas A&M,TAMU,,,Entered,2025-03-25T14:41:00
Lemyah Hylton,CG,Junior,Miami,MIA,,,Entered,2025-03-25T14:40:00
Breya Cunningham,PF,Sophomore,Arizona,ARIZ,,,Entered,2025-03-25T14:32:00
Stefanie Ingram,CG,Junior,Florida Atlantic,FAU,,,Entered,2025-03-25T13:39:00
Skylar Jones,CG,Sophomore,Arizona,ARIZ,,,Entered,2025-03-25T13:34:00
Gracie Merkle,C,RedShirt Sophomore,Penn State,PSU,,,Entered,2025-03-25T13:31:00
Laci Steele,CG,Sophomore,NC State,NCST,,,Entered,2025-03-25T09:49:00
Clara Silva,C,Freshman,Kentucky,UK,,,Entered,2025-03-25T09:41:00
Vittoria Blasigh,CG,Sophomore,USF,USF,,,Entered,2025-03-25T09:01:00
Kaitlin Peterson,SG,Senior,UCF,UCF,,,Entered,2025-03-24T17:03:00
Tara Daye,SG,Junior,St. John's,St. John's,,,Entered,2025-03-24T16:57:00
Taylor Feldman,CG,Junior,Northern Arizona,NOAZ,,,Entered,2025-03-24T16:45:00
Tonie Morgan,PG,Junior,Georgia Tech,GTECH,,,Entered,2025-03-24T15:46:00
Tanyuel Welch,CG,RedShirt Sophomore,Memphis,MEM,,,Entered,2025-03-24T15:01:00
Taylor Johnson-Matthews,CG,Junior,DePaul,DePaul,,,Entered,2025-03-24T14:54:00
Chazadi Wright,PG,Freshman,Georgia Tech,GTECH,,,Entered,2025-03-24T14:46:00
Jada Williams,CG,Sophomore,Arizona,ARIZ,,,Entered,2025-03-24T11:25:00
Jade Weathersby,PF,Sophomore,UAB,UAB,,,Entered,2025-03-24T10:30:00
Oyindamola Akinbolawa,C,Junior,Auburn,AUB,,,Entered,2025-03-24T09:52:00
Lara Rohkohl,C,Junior,College of Charleston,CHAR,,,Entered,2025-03-24T09:51:00
Aaliyah Guyton,SG,Freshman,Iowa,IOWA,,,Entered,2025-03-24T09:51:00
Katie Ledden,CG,Sophomore,Rhode Island,RI,,,Entered,2025-03-24T09:46:00
Kaitlyn Duhon,CG,Junior,Auburn,AUB,,,Entered,2025-03-24T09:44:00
Mya Perry,CG,Junior,Florida Atlantic,FAU,,,Entered,2025-03-24T09:35:00
Rusne Augustinaite,SG,Sophomore,Georgia Tech,GTECH,,,Entered,2025-03-24T09:32:00
Chloe Spreen,SG,Freshman,Alabama,BAMA,,,Entered,2025-03-24T09:28:00
Jordyn Poole,PG,Freshman,Purdue,PUR,,,Entered,2025-03-24T09:21:00
Sophie Swanson,SG,Sophomore,Purdue,PUR,,,Entered,2025-03-24T09:19:00
Tilda Sjokvist,CG,Junior,Missouri,MIZZ,,,Entered,2025-03-20T16:51:00
Kennedy Fauntleroy,PG,Junior,Arizona State,ASU,,,Entered,2025-03-20T16:50:00
Kadidia Toure,PF,Junior,Arizona State,ASU,,,Entered,2025-03-20T16:50:00
Amari Whiting,SG,Sophomore,BYU,BYU,Oklahoma State Cowboys,OKST,Committed,2025-03-19T16:54:00
Ronnie Porter,PG,Junior,Wisconsin,WIS,,,Entered,2025-03-18T16:55:00
Nene Ndiaye,SF,Sophomore,Boston College,BC,,,Entered,2025-03-18T14:11:00
Aaliyah Stanton,PG,Sophomore,California State University-Fullerton,CSUF,,,Entered,2025-03-17T16:58:00
Audia Young,CG,RedShirt Sophomore,Auburn,AUB,,,Entered,2025-03-17T16:56:00
Carter McCray,C,Sophomore,Wisconsin,WIS,,,Entered,2025-03-17T16:55:00
Makiya Miller,CG,Junior,Wright State,WRST,,,Entered,2025-03-14T17:00:00
Caitlin Weimar,SF,Senior,NC State,NCST,,,Entered,2025-03-13T17:02:00
Jalyn Brown,SF,Junior,Arizona State,ASU,,,Entered,2025-03-13T17:01:00
Dominique Darius,CG,Senior,USC,USC,,,Entered,2025-03-12T17:03:00
Kaylah Ivey,PG,RedShirt Junior,Boston College,BC,,,Entered,2025-03-12T17:01:00
Amari Whiting,SG,Sophomore,BYU,BYU,,,Entered,2025-03-10T16:53:00
Taliah Scott,CG,Sophomore,Auburn,AUB,,,Entered,2025-03-10T12:04:00
Maddie Millar,CG,Junior,North Florida,UNF,,,Entered,2025-03-07T13:21:00
Faith Stinson,PF,Junior,Indiana University - Indianapolis,IUPUI,,,Entered,2025-03-07T13:20:00
Yakiya Milton,PF,Sophomore,Auburn,AUB,,,Entered,2025-03-07T13:19:00
Alexia Nelson,PG,Senior,Towson,TOW,,,Entered,2025-02-26T20:13:00
Alana Striverson,CG,Senior,Evansville,EVAN,,,Entered,2025-02-26T19:13:00
Morasha Wiggins,CG,RedShirt Sophomore,Arizona State,ASU,,,Entered,2025-02-24T17:01:00
Laurel Rockwood,C,RedShirt Junior,University of California-Santa Barbara,UCSB,,,Entered,2025-02-21T15:47:00
Hennessey Luu-Brown,PG,Senior,Miami (OH),MIAO,,,Entered,2025-02-21T11:16:00
Anica Skrivan,PF,Senior,Evansville,EVAN,,,Entered,2025-02-19T18:18:00
Annabelle Schultz,CG,Senior,Wofford,WOFF,,,Entered,2025-02-19T13:09:00
Madlena Gerke,CG,Junior,Evansville,EVAN,,,Entered,2025-02-18T20:38:00
Aislin Malcolm,CG,Junior,Pittsburgh,PITT,Robert Morris Colonials,ROMO,Committed,2025-02-14T21:40:00
